Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID
67.0,22.0,86.0,63.0,12.0,78.0,1902001
57.0,26.0,82.0,57.0,36.0,81.0,1902041
62.0,36.0,86.0,60.0,36.0,86.0,1902103
63.0,25.0,80.0,51.0,9.0,68.0,1903001
0.0,0.0,0.0,0.0,0.0,0.0,1903002
51.0,24.0,83.0,50.0,28.0,83.0,1903041
57.0,30.0,87.0,53.0,32.0,86.0,1903102
58.0,21.0,80.0,48.0,7.0,68.0,1904001
55.0,26.0,83.0,50.0,24.0,81.0,1904041
49.0,25.0,80.0,47.0,27.0,82.0,1904102
71.0,29.0,89.0,69.0,14.0,82.0,1906002
46.0,20.0,86.0,44.0,21.0,89.0,1906102
51.0,18.0,77.0,41.0,6.0,63.0,1907001
40.0,18.0,73.0,41.0,22.0,74.0,1907041
45.0,25.0,76.0,45.0,25.0,74.0,1907107
35.0,16.0,67.0,34.0,15.0,66.0,1907110
48.0,14.0,73.0,39.0,3.0,58.0,1908002
35.0,15.0,65.0,37.0,17.0,66.0,1908041
31.0,13.0,65.0,31.0,16.0,64.0,1908101
59.0,21.0,87.0,61.0,7.0,81.0,1909001
54.0,22.0,90.0,57.0,32.0,91.0,1909101
54.0,20.0,78.0,43.0,5.0,66.0,2901001
6.0,2.0,40.0,7.0,0.0,11.0,2901002
39.0,17.0,70.0,37.0,19.0,69.0,2901041
48.0,25.0,81.0,45.0,27.0,81.0,2901101
38.0,18.0,73.0,41.0,20.0,77.0,2901104
75.0,36.0,92.0,62.0,12.0,85.0,3801001
44.0,18.0,81.0,47.0,27.0,83.0,3801042
59.0,34.0,87.0,56.0,32.0,85.0,3801103
72.0,31.0,89.0,64.0,15.0,82.0,3902001
6.0,0.0,28.0,13.0,0.0,25.0,3902004
63.0,34.0,89.0,59.0,31.0,87.0,3902041
49.0,28.0,82.0,45.0,26.0,82.0,3902102
50.0,20.0,76.0,40.0,5.0,63.0,3903001
17.0,4.0,34.0,11.0,0.0,19.0,3903004
44.0,22.0,75.0,39.0,20.0,71.0,3903044
45.0,19.0,80.0,43.0,19.0,80.0,3903120
48.0,29.0,73.0,50.0,31.0,78.0,3903121
34.0,16.0,67.0,33.0,13.0,68.0,3903122
41.0,21.0,73.0,37.0,17.0,72.0,3903123
37.0,15.0,75.0,38.0,15.0,77.0,3903129
0.0,0.0,0.0,0.0,0.0,0.0,3903201
54.0,16.0,76.0,47.0,5.0,65.0,3904001
27.0,5.0,45.0,25.0,0.0,25.0,3904005
50.0,22.0,78.0,45.0,24.0,74.0,3904041
40.0,21.0,76.0,36.0,21.0,73.0,3904101
44.0,20.0,80.0,46.0,20.0,86.0,3904102
52.0,14.0,78.0,42.0,2.0,66.0,3905001
11.0,11.0,67.0,-1.0,-1.0,-1.0,3905004
45.0,18.0,79.0,36.0,14.0,72.0,3905041
38.0,18.0,73.0,42.0,19.0,77.0,3905103
37.0,12.0,73.0,34.0,10.0,66.0,3906001
0.0,0.0,0.0,0.0,0.0,0.0,3906004
40.0,22.0,75.0,41.0,21.0,79.0,3906101
53.0,17.0,79.0,43.0,4.0,65.0,3907001
-1.0,-1.0,-1.0,0.0,0.0,0.0,3907004
53.0,26.0,81.0,52.0,29.0,78.0,3907041
43.0,17.0,74.0,48.0,24.0,79.0,3907102
59.0,22.0,81.0,45.0,5.0,67.0,4901001
38.0,18.0,69.0,35.0,16.0,66.0,4901041
37.0,19.0,69.0,38.0,20.0,71.0,4901101
64.0,31.0,89.0,67.0,30.0,84.0,5901001
64.0,37.0,90.0,61.0,39.0,88.0,5901101
76.0,31.0,93.0,74.0,25.0,90.0,5902001
67.0,34.0,89.0,67.0,38.0,90.0,5902041
48.0,24.0,79.0,50.0,25.0,83.0,5902101
64.0,19.0,85.0,59.0,3.0,81.0,5904001
61.0,35.0,89.0,51.0,27.0,84.0,5904041
70.0,44.0,95.0,61.0,39.0,96.0,5904101
55.0,24.0,86.0,53.0,19.0,80.0,6902001
56.0,32.0,83.0,56.0,32.0,88.0,6902101
53.0,13.0,79.0,50.0,3.0,70.0,7901001
33.0,12.0,74.0,38.0,13.0,72.0,7901041
35.0,13.0,68.0,30.0,16.0,67.0,7901101
57.0,25.0,76.0,47.0,9.0,68.0,7902001
0.0,0.0,0.0,0.0,0.0,0.0,7902005
48.0,21.0,79.0,46.0,24.0,80.0,7902041
37.0,17.0,76.0,36.0,16.0,79.0,7902101
33.0,7.0,67.0,28.0,3.0,57.0,7904001
29.0,10.0,64.0,32.0,14.0,67.0,7904041
31.0,14.0,64.0,30.0,12.0,66.0,7904101
51.0,17.0,74.0,41.0,6.0,60.0,7905001
0.0,0.0,55.0,-1.0,-1.0,-1.0,7905005
33.0,13.0,65.0,32.0,16.0,62.0,7905041
32.0,15.0,63.0,31.0,13.0,63.0,7905103
39.0,7.0,66.0,41.0,6.0,59.0,7906001
32.0,11.0,68.0,35.0,14.0,71.0,7906041
34.0,13.0,71.0,34.0,17.0,73.0,7906101
39.0,15.0,72.0,37.0,9.0,75.0,7906102
54.0,16.0,80.0,52.0,11.0,72.0,8901001
48.0,24.0,81.0,51.0,28.0,80.0,8901041
47.0,27.0,78.0,47.0,30.0,77.0,8901101
44.0,21.0,72.0,46.0,23.0,79.0,8901102
51.0,29.0,89.0,59.0,32.0,96.0,8901105
52.0,20.0,74.0,44.0,9.0,63.0,8902001
46.0,19.0,78.0,42.0,20.0,74.0,8902041
46.0,23.0,76.0,46.0,23.0,76.0,8902102
0.0,0.0,0.0,0.0,0.0,0.0,8902103
32.0,15.0,69.0,33.0,19.0,74.0,8902104
59.0,20.0,84.0,53.0,7.0,72.0,8903001
58.0,29.0,86.0,51.0,26.0,82.0,8903041
34.0,16.0,71.0,36.0,18.0,72.0,8903102
0.0,0.0,0.0,0.0,0.0,0.0,8903103
44.0,15.0,71.0,32.0,4.0,56.0,9901001
20.0,0.0,60.0,-1.0,-1.0,-1.0,9901002
32.0,10.0,69.0,34.0,11.0,70.0,9901041
28.0,12.0,59.0,28.0,11.0,64.0,9901101
43.0,16.0,78.0,49.0,15.0,78.0,10901001
49.0,16.0,72.0,45.0,5.0,64.0,10902001
40.0,17.0,72.0,43.0,20.0,72.0,10902041
43.0,22.0,75.0,44.0,23.0,73.0,10902101
38.0,19.0,72.0,45.0,25.0,75.0,10902102
43.0,14.0,65.0,38.0,5.0,56.0,11901001
42.0,13.0,68.0,35.0,5.0,56.0,11901002
85.0,34.0,98.0,75.0,8.0,96.0,11901005
14.0,4.0,40.0,9.0,1.0,20.0,11901022
35.0,15.0,64.0,35.0,19.0,65.0,11901041
36.0,18.0,63.0,38.0,19.0,65.0,11901101
52.0,29.0,84.0,55.0,35.0,88.0,11901102
