campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
CAYUGA H S,179,100,70,39.099998,0,0,36,20.1,'09 - 12,1902001
CAYUGA MIDDLE,119,100,42,35.299999,1,0.80000001,13,10.9,'06 - 08,1902041
CAYUGA EL,143,53.799999,128,48.099998,0,0,35,13.2,'PK - 05,1902103
ELKHART H S,376,100,187,49.700001,0,0,43,11.4,'09 - 12,1903001
ELKHART DAEP,2,100,2,100,0,0,0,0,'08 - 10,1903002
ELKHART MIDDLE,261,100,148,56.700001,2,0.80000001,30,11.5,'06 - 08,1903041
ELKHART EL,0,0,236,69.800003,18,5.3000002,35,10.4,'PK - 02,1903101
ELKHART INT,277,100,155,56,9,3.2,26,9.3999996,'03 - 05,1903102
FRANKSTON H S,228,100,99,43.400002,2,0.89999998,18,7.9000001,'09 - 12,1904001
FRANKSTON MIDDLE,194,100,98,50.5,5,2.5999999,33,17,'06 - 08,1904041
FRANKSTON EL,191,50.099998,234,61.400002,16,4.1999998,41,10.8,'EE - 05,1904102
NECHES H S,107,100,40,37.400002,1,0.89999998,14,13.1,'09 - 12,1906002
NECHES EL,165,63.700001,135,52.099998,6,2.3,18,6.9000001,'PK - 08,1906102
PALESTINE H S,984,100,634,64.400002,85,8.6000004,109,11.1,'09 - 12,1907001
PALESTINE J H,519,100,384,74,102,19.700001,60,11.6,'07 - 08,1907041
NORTHSIDE PRI,0,0,393,79.599998,99,20,41,8.3000002,'KG - 01,1907101
WASHINGTON EARLY CHILDHOOD CENTER,0,0,174,100,38,21.799999,11,6.3000002,'EE - PK,1907102
SOUTHSIDE EL,222,48.099998,358,77.5,116,25.1,47,10.2,'02 - 03,1907107
STORY INT,756,100,597,79,164,21.700001,94,12.4,'04 - 06,1907110
WESTWOOD H S,418,100,187,44.700001,14,3.3,49,11.7,'09 - 12,1908002
WESTWOOD J H,237,100,135,57,18,7.5999999,32,13.5,'07 - 08,1908041
WESTWOOD EL,446,99.800003,303,67.800003,27,6,60,13.4,'02 - 06,1908101
WESTWOOD PRI,0,0,308,74,29,7,45,10.8,'EE - 02,1908102
SLOCUM H S,115,100,49,42.599998,2,1.7,19,16.5,'09 - 12,1909001
SLOCUM PK - 8,177,60.799999,137,47.099998,2,0.69999999,31,10.7,'PK - 08,1909101
ANDREWS H S,1143,100,412,36,81,7.0999999,96,8.3999996,'08 - 12,2901001
ANDREWS EDUCATION CENTER,41,100,23,56.099998,4,9.8000002,1,2.4000001,'09 - 12,2901002
ANDREWS MIDDLE,1026,100,409,39.900002,103,10,112,10.9,'06 - 08,2901041
DEVONIAN EL,300,49.299999,254,41.700001,97,15.9,26,4.3000002,'02 - 03,2901101
UNDERWOOD EL,674,100,277,41.099998,87,12.9,60,8.8999996,'04 - 05,2901104
CLEARFORK EL,0,0,392,47.700001,151,18.4,51,6.1999998,'EE - 01,2901105
PINEYWOODS COMMUNITY ACADEMY H S,251,100,93,37.099998,7,2.8,20,8,'09 - 12,3801001
DR TERRY ROBBINS MIDDLE,257,100,136,52.900002,9,3.5,28,10.9,'06 - 08,3801042
SARAH STRINDEN EL,253,49.200001,292,56.799999,33,6.4000001,34,6.5999999,'PK - 05,3801103
HUDSON H S,838,100,397,47.400002,13,1.6,69,8.1999998,'09 - 12,3902001
STUBBLEFIELD LRN CTR,14,100,10,71.400002,1,7.0999999,1,7.0999999,'10 - 12,3902004
HUDSON MIDDLE,706,100,378,53.5,41,5.8000002,65,9.1999998,'06 - 08,3902041
W F PEAVY PRI,0,0,465,61.299999,68,9,65,8.6000004,'EE - 02,3902101
W H BONNER EL,641,100,359,56,57,8.8999996,53,8.3000002,'03 - 05,3902102
LUFKIN H S,2132,100,1439,67.5,194,9.1000004,257,12.1,'08 - 12,3903001
STUBBLEFIELD LRN CTR,39,100,32,82.099998,4,10.3,12,30.799999,'09 - 12,3903004
LUFKIN MIDDLE,1715,100,1263,73.599998,275,16,212,12.4,'06 - 08,3903044
ANDERSON EL,258,100,219,84.900002,34,13.2,49,19,'03 - 05,3903120
BRANDON EL,407,100,279,68.599998,32,7.9000001,34,8.3999996,'03 - 05,3903121
BROOKHOLLOW EL,300,100,259,86.300003,29,9.6999998,52,17.299999,'03 - 05,3903122
COSTON EL,239,100,220,92.099998,65,27.200001,36,15.1,'03 - 05,3903123
DUNBAR PRI,0,0,220,60.900002,20,5.5,21,5.8000002,'KG - 02,3903124
GARRETT PRI,0,0,338,97.400002,106,30.5,3,0.89999998,'PK - PK,3903125
HACKNEY PRI,0,0,225,99.099998,61,26.9,0,0,'PK - PK,3903126
HERTY PRI,0,0,240,89.199997,46,17.1,69,25.700001,'EE - 02,3903127
KURTH PRI,0,0,258,87.199997,37,12.5,17,5.6999998,'PK - 02,3903128
SLACK EL,468,84.900002,465,84.400002,300,54.400002,44,8,'02 - 05,3903129
TROUT PRI,0,0,249,90.199997,30,10.9,23,8.3000002,'EE - 02,3903130
BURLEY PRI,0,0,327,81.800003,223,55.799999,16,4,'KG - 02,3903131
SPECIAL SERVICES,0,0,1,33.299999,0,0,3,100,'EE - KG,3903141
