Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID,School,# Enrolled,% Enrolled,# Econ Disadv,% Econ Disadv,# LEP,% LEP,# Special Ed,% Special Ed,Grade Span
67.0,22.0,86.0,63.0,12.0,78.0,1902001,CAYUGA H S,179,100.0,70,39.099998,0,0.0,36,20.1,'09 - 12
57.0,26.0,82.0,57.0,36.0,81.0,1902041,CAYUGA MIDDLE,119,100.0,42,35.299999,1,0.80000001,13,10.9,'06 - 08
62.0,36.0,86.0,60.0,36.0,86.0,1902103,CAYUGA EL,143,53.799999,128,48.099998,0,0.0,35,13.2,'PK - 05
63.0,25.0,80.0,51.0,9.0,68.0,1903001,ELKHART H S,376,100.0,187,49.700001,0,0.0,43,11.4,'09 - 12
0.0,0.0,0.0,0.0,0.0,0.0,1903002,ELKHART DAEP,2,100.0,2,100.0,0,0.0,0,0.0,'08 - 10
51.0,24.0,83.0,50.0,28.0,83.0,1903041,ELKHART MIDDLE,261,100.0,148,56.700001,2,0.80000001,30,11.5,'06 - 08
57.0,30.0,87.0,53.0,32.0,86.0,1903102,ELKHART INT,277,100.0,155,56.0,9,3.2,26,9.3999996,'03 - 05
58.0,21.0,80.0,48.0,7.0,68.0,1904001,FRANKSTON H S,228,100.0,99,43.400002,2,0.89999998,18,7.900000099999999,'09 - 12
55.0,26.0,83.0,50.0,24.0,81.0,1904041,FRANKSTON MIDDLE,194,100.0,98,50.5,5,2.5999999,33,17.0,'06 - 08
49.0,25.0,80.0,47.0,27.0,82.0,1904102,FRANKSTON EL,191,50.099998,234,61.400002,16,4.1999998,41,10.8,'EE - 05
71.0,29.0,89.0,69.0,14.0,82.0,1906002,NECHES H S,107,100.0,40,37.400002,1,0.89999998,14,13.1,'09 - 12
46.0,20.0,86.0,44.0,21.0,89.0,1906102,NECHES EL,165,63.700001,135,52.099998,6,2.3,18,6.900000099999999,'PK - 08
51.0,18.0,77.0,41.0,6.0,63.0,1907001,PALESTINE H S,984,100.0,634,64.400002,85,8.6000004,109,11.1,'09 - 12
40.0,18.0,73.0,41.0,22.0,74.0,1907041,PALESTINE J H,519,100.0,384,74.0,102,19.700001,60,11.6,'07 - 08
45.0,25.0,76.0,45.0,25.0,74.0,1907107,SOUTHSIDE EL,222,48.099998,358,77.5,116,25.1,47,10.2,'02 - 03
35.0,16.0,67.0,34.0,15.0,66.0,1907110,STORY INT,756,100.0,597,79.0,164,21.700001,94,12.4,'04 - 06
